No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
SUN2000-050KTL-M0,HUAWEI SUN2000 50KTL-M0 50KW 3PH SOLAR INVERTER,1,430000,HUAWEI,INVERTER
SUN2000-050KTL-M3,HUAWEI SUN2000 50KTL-M3 50KW 3PH SOLAR INVERTER,19,430000,HUAWEI,INVERTER
RSI150,GRUNDFOS RSI 15000 15KW SOLAR INVERTER,1,420000,GRUNDFOS,SOLAR SP
SMA-ST25,SUNNY TRIPOWER STP25000TL INVERTER,0,400000,SMA,INVERTER
SUN2000-060KTL-M0,HUAWEI SUN2000 60KTL-M0 60KW 3PH SOLAR INVERTER,1,400000,HUAWEI,INVERTER
SUN2000-60KTL-M0,HUAWEI SUN2000 60KTL-M0,0,400000,HUAWEI,INVERTER
SMA-ST20,SUNNY TRIPOWER STP20000TL INVERTER,0,390000,SMA,INVERTER
OPI-SP10K,DAYLIFF OPTIVERTER DO11000 MULTIFUNCTION INVERTER,2,385000,OPTI,INVERTER
SQF3A-10,GRUNDFOS SQF 3A-10 SOLAR PUMP,0,385000,GRUNDFOS,SOLAR SP
SQF5A-7,GRUNDFOS SQF 5A-7 SOLAR PUMP,0,385000,GRUNDFOS,SOLAR SP
HPW300,DAYLIFF HPW300 2.5kW 1PH ALL-IN-ONE HEAT PUMP,14,383000,SUNRAIN,HEATING
SV3/185T,DAYLIFF SV3 18.5KW 3PH SUNVERTER,10,380000,DAYLIFF,SUNVERTER
POWERADAPT16A,GRUNDFOS POWERADAPT 16A CONTROLLER,0,377000,GRUNDFOS,SOLAR SP
LP400C5,LORENTZ PU4000C-SJ5-25 SOLAR PUMP,0,376000,LORENTZ,DC PUMP
LP400C8,LORENTZ PU4000C-SJ8-15 SOLAR PUMP,0,376000,LORENTZ,DC PUMP
CPLI-48150AH,DAYLIFF 150AH LiFePO4 LITHIUM ION BATTERY C/W BMS,14,375000,CHAMPION,BATTERY
ESI300,ULTRASUN UFX300I FLATPLATE SOLAR HOT WATER SYSTEM,75,375000,BURAL,SHW
SQF1.2-2,GRUNDFOS SQF 1.2-2 SOLAR PUMP,0,375000,GRUNDFOS,SOLAR SP
SQF1.2-3,GRUNDFOS SQF 1.2-3 SOLAR PUMP,1,375000,GRUNDFOS,SOLAR SP
SQF2.5-2,GRUNDFOS SQF 2.5-2 SOLAR PUMP,0,375000,GRUNDFOS,SOLAR SP
RSI110,GRUNDFOS RSI 11000 11KW SOLAR INVERTER,0,368000,GRUNDFOS,SOLAR SP
DLIP-15048,DAYLIFF DLIP 150AH 48V LITHIUM ION BATTERY,75,365000,DAYLIFF,BATTERY
SUN2000-030KTL-M3,HUAWEI SUN2000 30KTL-M3 30KW 3PH SOLAR INVERTER,19,360000,HUAWEI,INVERTER
RSI 7500,GRUNDFOS RSI 7500 7.5KW SOLAR INVERTER,0,355000,GRUNDFOS,SOLAR SP
DSH300,ULTRASUN UVR300 VACROD SOLAR HOT WATER SYSTEM,17,346000,SUNRAIN,SHW
SP-8000,DAYLIFF OPTIVERTER DO8000 MULTIFUNCTION INVERTER,18,345000,OPTI,INVERTER
DSDKIT-8/17,DAYLIFF DSD 8/17 SOLAR PUMPING SYSTEM,0,335000,DAYLIFF,DSD
HPW200,DAYLIFF HPW200 2.5kW 1PH ALL-IN-ONE HEAT PUMP,11,335000,SUNRAIN,HEATING
DSKIT-B1000C8,DAYLIFF SUNFLO-B 1000C8 SOLAR PUMPING KIT,6,335000,DAYLIFF,SOLAR PUMP
RSI 5500,GRUNDFOS RSI 5500 5.5KW SOLAR INVERTER,2,334000,GRUNDFOS,SOLAR SP
DSDKIT-3/30,DAYLIFF DSD 3/30 SOLAR PUMPING SYSTEM,0,332000,DAYLIFF,DSD
DSDKIT-5/24,DAYLIFF DSD 5/24 SOLAR PUMPING SYSTEM,0,331000,DAYLIFF,DSD
LUNA-BATTERY,HUAWEI LUNA 5KWH SOLAR BATTERY MODULE,12,330000,HUAWEI,BATTERY
